label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11
2	429 m/(s^2)	1.1835	bIOTECHNOLOGY	PIG, FISH	2.5563	-0.1429	1.6355	638	-253	0.6805	-1.0796	1.602
0	44 m/(s^2)	0.13	Robotics Engineering	reptile	1.1818	0.7837	0.4394	399	249	-0.1038	1.4001	0.2015
2	-91 m/(s^2)	-0.4824	Technology and Information Management	RAT	-0.4344	-0.2165	1.0936	-189	1450	0.328	0.7524	1.76
1	1257 m/(s^2)	1.0683	Computer Science	bird, cat	-0.3446	1.2045	0.5423	1334	195	0.4249	0.9146	-0.4686
3	1001 m/(s^2)	0.5859	Bioinformatics	chicken	0.8303	1.0203	-0.883	-376	314	2.1928	-0.0507	1.4985
4	1043 m/(s^2)	-0.5172	Games and Playable Media	hamster	2.3312	1.1504	-0.2804	327	2101	0.2281	0.2394	0.9194
1	2069 m/(s^2)	0.1396	Applied Mathematics	dog, cat	1.4899	0.3615	0.3151	951	1361	0.3285	-1.0121	0.7191
3	-204 m/(s^2)	2.136	Natural Language Processing	rabbit	0.4356	2.4207	0.0293	199	272	0.7047	-0.7451	-0.4365
1	550 m/(s^2)	-0.0115	cOMPUTER sCIENCE	bird	-0.0178	0.3277	0.7546	723	910	0.4983	1.9262	-0.5991
3	1515 m/(s^2)	0.3013	Natural Language Processing	chicken	-0.7243	1.0372	-0.5634	1030	-23	0.8106	0.08	1.6261
3	1654 m/(s^2)	0.4163	Bioinformatics	rabbit	0.2076	-0.8893	0.2458	255	-451	0.376	0.4531	1.8493
0	511 m/(s^2)	0.1586	Computer Engineering	reptile	-0.2038	2.4404	0.4841	1251	442	0.8415	N/A	1.1481
1		0.8483	Computer Science	bird, cat	-0.5251	0.5596	-0.8808	-80	1455	1.2915	-0.0056	-2.2584
3	1107 m/(s^2)	1.0198	Electrical Engineering	rabbit	0.6185	2.3345	0.5467	474	-55	1.9459	-0.0028	1.3907
4	1133 m/(s^2)	1.669	games and playable media	hamster	1.4588	-0.0423	-0.398	408	1041	1.3268	0.6618	0.8629
3	0 m/(s^2)	0.8122	Electrical Engineering	chicken	1.1645	2.4826	-0.3864	324	1557	0.6746	1.4252	-0.3022
1	-470 m/(s^2)	-0.7444	Computer Science	bird	0.7815	0.177	-0.467	-1827	-1079	0.755	1.0345	0.4665
3	752 m/(s^2)	0.3058	Natural Language Processing	rabbit	-0.9544	1.8302	1.6401	2194	-17	1.1598	0.593	0.863
3	205 m/(s^2)	1.9188	bIOINFORMATICS	rabbit	0.7419	-0.2273	-0.285	1348	-471	0.6818	0.498	0.4617
0	?	-0.1633	Bioengineering	reptile	0.2011	1.0177	0.901	1381	769	0.9623	1.1807	0.7083
0	1208 m/(s^2)	0.7181	Robotics Engineering	reptile	2.1701	1.7949	0.2955	-1293	535	-0.0204	1.2105	0.915
2	943 m/(s^2)	0.967	Technology and Information Management	rat	n/a	0.6173	1.581	627	741	0.7183	-1.2568	2.2639
0	-895 m/(s^2)	0.4392	Computer Engineering	reptile	0.2235	0.1957	-0.1964	-2845	626	1.3432	0.0702	2.2174
2	-668 m/(s^2)	0.9353	Human Computer Interaction	pig	0.1911	0.8534	0.5698	-4	769	-0.44	1.7734	0.4379
3	280 m/(s^2)	1.2066	Bioinformatics	rabbit	0.4148	0.613	0.0419	1976	367	1.7399	0.1677	1.3501
3	-108 m/(s^2)	0.9195	Bioinformatics	rabbit	-0.0603	2.163	0.0871	980	391	0.3572	-1.0896	1.004
0	-730 m/(s^2)	-0.2459	Bioengineering	reptile	0.8802	-0.4367	-0.0188	-1632	554	0.0635	0.6815	-1.6068
2	971 m/(s^2)	1.0762	Technology and Information Management	rat, pig	1.4968	-0.4114	1.734	538	-1138	1.567	-0.486	2.0118
2	1967 m/(s^2)	0.8685	Human Computer Interaction	fish, ferret	-0.1024	-1.2054	-0.7428	-729	2609	0.6893	0.0634	0.9169
1	-548 m/(s^2)	0.6236	Computer Science	bird	-0.526	0.2065	0.6472	824	1013	0.5396	1.5679	1.7379
1	3110 m/(s^2)	0.6555	Applied Mathematics	chicken	0.9581	-0.1277	-0.0842	191	1571	-0.1114	0.2382	-1.2741
0	502 m/(s^2)	0.8872	Computer Engineering	reptile	0.4326	-0.057	1.1743	615	760	0.5744	-0.1992	1.7359
4	1396 m/(s^2)	1.5808	Computational Media	hamster	1.2205	0.8923	0.5339	-86	-115	0.9909	0.9415	-2.6445
3	-799 m/(s^2)	0.5185	Bioinformatics	chicken	-0.4851	0.9765	0.8783	1318	-2187	-0.1867	-1.4969	1.12
0	1673 m/(s^2)	0.321	Robotics Engineering	reptile	-0.5065	1.6786	0.9552	618	276	0.4712	1.1026	0.8709
0	-282 m/(s^2)	1.1431	Bioengineering	NULL	3.3192	2.6565	-0.1192	325	1510	0.4609	1.6658	0.188
3	1319 m/(s^2)	0.9737	Natural Language Processing	chicken	0.7153	-0.5515	0.7392	-966	-748	1.1008	0.7174	2.0093
4	841 m/(s^2)	-0.2807	Computational Media	guinea pig	-0.4672	2.5063	0.5938	-585	1096	-0.5868	0.2853	1.8017
0	890 m/(s^2)	-0.6739	Robotics Engineering	reptile	-0.8363	0.0867	0.3718	-372	-243	-0.4707	0.2346	1.2199
1	884 m/(s^2)	-0.5543	Computer Science	bird, cat	-0.8629	2.1369	-0.4342	358	203	0.7495	-0.1784	0.151
0	2530 m/(s^2)	-0.482	Computer Engineering	reptile	1.0333	2.2671	0.0842	1055	322	0.8046	-0.4869	1.6313
0	1371 m/(s^2)	0.3965	Data Science	reptile	1.5409	0.3407	0.4309	688	493	1.1407	-0.0651	2.4911
3	527 m/(s^2)	1.2067	Bioinformatics	rat	1.5888	0.7881	-1.0315	-68	-1676	0.6796	-0.4733	0.0425
1	883 m/(s^2)	0.8785	Computer Science	cat, dog	2.1893	1.0956	-0.9515	1055	135	0.4996	-1.5677	0.6101
0	938 m/(s^2)	1.0736	Data Science	reptile	1.7971	-0.3253	0.2844	1318	-1493	-0.2533	1.9479	1.4038
1	1295 m/(s^2)	1.3794	Applied Mathematics	dog, bird	-0.0921	-0.0202	-0.4875	-11	622	0.4896	0.4704	0.6554
1	777 m/(s^2)	0.8611	Applied Mathematics	cat, dog	1.6021	-0.6328	0.0741	208	221	1.0328	-0.934	2.079
1	893 m/(s^2)	-0.2964	Computer Science	cat	0.8801	-0.7119	-0.1044	990	562	0.7203	0.3559	0.9957
0	608 m/(s^2)	0.0778	Robotics Engineering	reptile	-0.3239	0.0242	0.4358	86	620	0.6915	0.3365	2.1453
3	272 m/(s^2)	-0.1443	Electrical Engineering	chicken	0.7417	-0.9279	-0.9763	-170	378	1.5526	-0.3243	0.1433
4	423 m/(s^2)	-0.133	Computer Game Design	hamster	1.0625	1.0391	0.1311	817	455	0.596	0.3823	1.4336
0	120 m/(s^2)	1.3207	Computer Engineering	hamster	-0.6038	0.3803	-1.3711	823	732	0.4661	0.0214	-0.8283
0	-2140 m/(s^2)	-1.9684	Robotics Engineering	reptile	2.0181	-0.1462	-0.9745	379	-21	1.4974	1.6376	-0.2974
0	-209 m/(s^2)	-0.6415	Statistics	reptile	0.4248	2.565	0.109	1444	197	-1.5058	-0.0796	0.1108
3	1695 m/(s^2)	0.1883	Bioinformatics	rabbit	1.1559	0.8164	-0.1571	754	272	NULL	-0.2899	2.0295
0	262 m/(s^2)	-0.8209	Statistics	reptile	1.4126	-0.1656	1.9282	755	707	0.0711	1.8902	1.9396
1	1450 m/(s^2)	0.5412	Applied Mathematics	dog	2.1921	-0.7884	-0.6987	1306	1165	1.443	0.5552	1.6942
4	-1709 m/(s^2)	0.4185	Games and Playable Media	hamster	0.5887	0.1152	-0.2723	-579	-349	0.02	1.4601	-0.5477
0	1549 m/(s^2)	0.5225	Computer Engineering	reptile	-0.7452	0.7251	-0.1024	101	-443	1.0426	-0.73	1.1792
4	881 m/(s^2)	0.4417	Computer Game Design	guinea pig	1.6599	0.3458	1.1138	1489	1223	2.0361	1.0561	0.59
